Event,Fight,Fighter,Round,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Zarah Fairn,3,0,24 of 93,0 of 1,0%,0,0,0:04,24 of 93,25%,17 of 85,4 of 5,3 of 3,24 of 92,0 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Jacqueline Cavalcanti,1,0,36 of 62,0 of 0,---,0,0,0:00,36 of 62,58%,4 of 26,8 of 8,24 of 28,36 of 62,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Jacqueline Cavalcanti,2,0,46 of 81,0 of 0,---,0,0,0:00,46 of 81,56%,19 of 48,4 of 6,23 of 27,41 of 74,5 of 7,0 of 0
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Jacqueline Cavalcanti,3,0,45 of 79,0 of 1,0%,0,0,0:08,44 of 78,56%,20 of 53,8 of 8,16 of 17,39 of 73,5 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Max Holloway,1,0,34 of 55,0 of 0,---,0,0,0:00,34 of 55,61%,12 of 28,14 of 15,8 of 12,34 of 55,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Max Holloway,2,1,36 of 62,0 of 0,---,1,0,0:54,36 of 62,58%,18 of 40,16 of 18,2 of 4,33 of 59,0 of 0,3 of 3
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Max Holloway,3,1,5 of 11,0 of 0,---,0,0,0:03,5 of 11,45%,4 of 9,1 of 2,0 of 0,4 of 10,1 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Chan Sung Jung,1,0,15 of 51,0 of 1,0%,0,0,0:00,15 of 50,30%,9 of 40,4 of 5,2 of 5,15 of 50,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Chan Sung Jung,2,0,17 of 58,0 of 0,---,0,0,0:15,16 of 57,28%,13 of 53,2 of 3,1 of 1,16 of 57,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Chan Sung Jung,3,0,3 of 17,0 of 0,---,0,0,0:00,3 of 17,17%,3 of 17,0 of 0,0 of 0,3 of 15,0 of 2,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Anthony Smith,1,0,24 of 42,1 of 3,33%,0,0,0:45,24 of 42,57%,9 of 25,1 of 1,14 of 16,23 of 41,1 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Anthony Smith,2,0,22 of 36,0 of 0,---,0,0,0:11,22 of 36,61%,10 of 22,4 of 4,8 of 10,22 of 36,0 of 0,0 of 0
